,ClusterLabel
0,10
1,12
2,4
3,9
4,12
5,8
6,8
7,4
8,14
9,4
10,6
11,4
12,4
13,4
14,4
15,4
16,8
17,12
18,4
19,6
20,4
21,14
22,12
23,12
24,12
25,6
26,14
27,12
28,12
29,4
30,6
31,4
32,10
33,6
34,6
35,14
36,4
37,4
38,4
39,2
40,14
41,9
42,1
43,4
44,1
45,12
46,12
47,14
48,8
49,1
50,4
51,12
52,8
53,14
54,14
55,4
56,10
57,2
58,8
59,14
60,10
61,4
62,4
63,10
64,12
65,12
66,14
67,4
68,4
69,10
70,14
71,6
72,4
73,4
74,4
75,6
76,12
77,10
78,4
79,4
80,4
81,4
82,4
83,14
84,10
85,4
86,2
87,8
88,14
89,8
90,4
91,10
92,14
93,2
94,4
95,14
96,4
97,4
98,4
99,4
100,12
101,4
102,14
103,4
104,9
105,9
106,1
107,10
108,4
109,4
110,14
111,10
112,10
113,3
114,1
115,2
116,14
117,10
118,10
119,2
120,8
121,4
122,4
123,14
124,4
125,10
126,13
127,10
128,2
129,8
130,10
131,4
132,4
133,14
134,10
135,14
136,4
137,4
138,4
139,6
140,8
141,4
142,14
143,10
144,10
145,4
146,8
147,14
148,14
149,14
150,4
151,4
152,12
153,14
154,14
155,4
156,8
157,8
158,4
159,12
160,8
161,8
162,4
163,12
164,4
165,6
166,4
167,1
168,8
169,14
170,14
171,14
172,12
173,1
174,1
175,12
176,8
177,1
178,4
179,6
180,4
181,8
182,13
183,10
184,10
185,10
186,1
187,10
188,4
189,10
190,10
191,4
192,4
193,6
194,6
195,14
196,14
197,14
198,10
199,4
200,10
201,10
202,4
203,1
204,1
205,4
206,12
207,1
208,8
209,10
210,8
211,8
212,8
213,14
214,6
215,4
216,9
217,10
218,1
219,4
220,4
221,1
222,8
223,4
224,4
225,8
226,1
227,13
228,8
229,10
230,11
231,11
232,4
233,11
234,11
235,1
236,4
237,11
238,8
239,8
240,11
241,4
242,10
243,11
244,10
245,4
246,4
247,4
248,1
249,4
250,1
251,12
252,8
253,4
254,10
255,6
256,8
257,8
258,8
259,13
260,4
261,4
262,8
263,5
264,10
265,10
266,10
267,10
268,5
269,10
270,4
271,4
272,5
273,6
274,7
275,6
276,5
277,6
278,4
279,5
280,6
281,6
282,6
283,6
284,6
285,4
286,3
287,12
288,3
289,12
290,5
291,1
292,5
293,6
294,12
295,5
296,2
297,7
298,5
299,5
300,5
301,7
302,6
303,7
304,7
305,7
306,5
307,3
308,7
309,6
310,7
311,5
312,3
313,5
314,6
315,6
316,4
317,4
318,7
319,6
320,6
321,3
322,3
323,5
324,7
325,10
326,6
327,4
328,6
329,6
330,6
331,2
332,7
333,6
334,5
335,5
336,6
337,5
338,5
339,6
340,5
341,2
342,10
343,6
344,5
345,12
346,2
347,6
348,5
349,9
350,4
351,4
352,5
353,12
354,2
355,6
356,9
357,4
358,4
359,4
360,10
361,6
362,5
363,5
364,5
365,4
366,4
367,2
368,2
369,4
370,4
371,4
372,8
373,2
374,4
375,4
376,4
377,4
378,4
379,8
380,4
381,4
382,4
383,4
384,4
385,4
386,4
387,4
388,4
389,4
390,2
391,4
392,4
393,12
394,8
395,4
396,4
397,1
398,1
399,1
400,8
401,1
402,1
403,1
404,8
405,1
406,1
407,8
408,8
409,2
410,2
411,4
412,2
413,8
414,4
415,2
416,2
417,4
418,2
419,1
420,4
421,2
422,4
423,4
424,4
425,2
426,4
427,4
428,2
429,4
430,4
431,2
432,4
433,12
